HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b5pt2q1,b5pt2q3,b5pt2q4,b5pt2q5,b5pt2q6,b5pt2q7,NSC,MLT
533572021,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,2,02,1,06,97,,0.03,3500000,2,,2,20250
533572021,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,2,02,1,06,99,,0.03,3500000,,,2,20250
533121021,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,1,02,1,06,97,,0.01,2000000,1,0.01,2,111150
533121021,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,1,02,1,06,99,,0.01,2000000,,0.01,2,111150
533123011,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,3,01,1,06,97,,0.04,2418160,,,2,222300
533123011,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,3,01,1,06,99,,0.04,2418160,,,2,222300
533124011,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,4,01,1,06,97,,0.03,1050000,2,,2,34200
533124011,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,4,01,1,06,99,,0.03,1050000,,,2,34200
533114011,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,4,01,1,06,97,,0.03,120850,2,,2,20250
533114011,771,53311,77,182,1,1,012,01,0118,18,18,31,2,0111,4,01,1,06,99,,0.03,120850,,,2,20250
533144011,771,53314,77,182,1,1,012,01,0119,19,19,31,2,0111,4,01,1,06,97,,0.07,532683,2,,2,154700
533144011,771,53314,77,182,1,1,012,01,0119,19,19,31,2,0111,4,01,1,06,99,,0.07,532683,,,2,154700
533031021,771,53303,77,182,1,1,012,01,0120,20,20,31,2,0111,1,02,1,06,97,,0.03,400000,1,0.03,2,96800
533031021,771,53303,77,182,1,1,012,01,0120,20,20,31,2,0111,1,02,1,06,99,,0.03,400000,,0.03,2,96800
533034021,771,53303,77,182,1,1,012,01,0120,20,20,31,2,0111,4,02,1,06,97,,0.01,2600000,2,,2,224400
533034021,771,53303,77,182,1,1,012,01,0120,20,20,31,2,0111,4,02,1,06,99,,0.01,2600000,,,2,224400
