HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b7q2,b7q3,b7q4,NSC,MLT
533352011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,2,01,1,08,09,2,35000,2,31000
533352011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,2,01,1,08,10,1,15500,2,31000
533352011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,2,01,1,08,13,3,50500,2,31000
533352011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,2,01,1,08,14,4,11500,2,31000
533352011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,2,01,1,08,15,3,850,2,31000
533352011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,2,01,1,08,17,10,62850,2,31000
533353011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,01,1,08,07,1,4500,2,241800
533353011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,01,1,08,09,1,28000,2,241800
533353011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,01,1,08,13,2,32500,2,241800
533353011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,01,1,08,14,2,4800,2,241800
533353011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,01,1,08,17,4,37300,2,241800
533353021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,02,1,08,07,1,12500,2,241800
533353021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,02,1,08,08,1,10000,2,241800
533353021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,02,1,08,09,1,29500,2,241800
533353021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,02,1,08,13,3,52000,2,241800
533353021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,02,1,08,17,3,52000,2,241800
533353031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,03,1,08,08,1,8500,2,241800
533353031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,03,1,08,09,1,24500,2,241800
533353031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,03,1,08,10,1,19500,2,241800
533353031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,03,1,08,13,3,52500,2,241800
533353031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,03,1,08,14,2,8200,2,241800
533353031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,03,1,08,17,5,60700,2,241800
533353041,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,04,1,08,08,1,5500,2,241800
533353041,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,04,1,08,10,1,21000,2,241800
533353041,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,04,1,08,13,2,26500,2,241800
533353041,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,04,1,08,14,3,11500,2,241800
533353041,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,04,1,08,17,5,38000,2,241800
533353051,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,05,1,08,08,2,35000,2,241800
533353051,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,05,1,08,09,1,24000,2,241800
533353051,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,05,1,08,13,3,59000,2,241800
533353051,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,05,1,08,17,3,59000,2,241800
533355011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,01,1,08,07,2,9500,2,31000
533355011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,01,1,08,09,1,19000,2,31000
533355011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,01,1,08,10,1,12500,2,31000
533355011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,01,1,08,13,4,41000,2,31000
533355011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,01,1,08,14,3,9500,2,31000
533355011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,01,1,08,17,7,50500,2,31000
533355021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,02,1,08,08,1,2500,2,31000
533355021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,02,1,08,09,1,18000,2,31000
533355021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,02,1,08,13,2,20500,2,31000
533355021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,02,1,08,14,2,8000,2,31000
533355021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,02,1,08,17,4,28500,2,31000
533356011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,01,1,08,07,1,1500,2,434000
533356011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,01,1,08,08,1,2500,2,434000
533356011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,01,1,08,09,2,38500,2,434000
533356011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,01,1,08,13,4,42500,2,434000
533356011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,01,1,08,14,1,4500,2,434000
