HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b8q2,b8q3,b8q4,b8q5,NSC,MLT
533353031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,03,1,09,2,1,25000,3,2,241800
533353031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,03,1,09,8,1,25000,,2,241800
533393021,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,02,1,09,3,1,20000,3,2,881600
533393021,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,02,1,09,8,1,20000,,2,881600
533313041,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,04,1,09,3,1,30000,3,2,62292
533313041,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,04,1,09,8,1,30000,,2,62292
533314021,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,02,1,09,2,1,400000,3,2,249167
533314021,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,02,1,09,3,3,102000,3,2,249167
533314021,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,02,1,09,8,4,502000,,2,249167
533315011,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,5,01,1,09,6,1,2000,1,2,28750
533315011,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,5,01,1,09,8,1,2000,,2,28750
533316021,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,6,02,1,09,5,1,2000,3,2,1969375
533316021,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,6,02,1,09,8,1,2000,,2,1969375
533301021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,02,1,09,3,2,78000,3,1,9700
533301021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,02,1,09,8,2,78000,,1,9700
533301031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,03,1,09,2,1,42500,3,1,9700
533301031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,03,1,09,3,1,52000,1,1,9700
533301031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,03,1,09,8,2,94500,,1,9700
533303021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,3,02,1,09,3,3,41500,1,1,9700
533303021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,3,02,1,09,8,3,41500,,1,9700
533306011,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,01,1,09,3,1,54500,1,1,11086
533306011,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,01,1,09,8,1,54500,,1,11086
533306021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,02,1,09,5,1,1800,3,1,11086
533306021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,02,1,09,8,1,1800,,1,11086
533306031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,03,1,09,3,1,59600,3,1,11086
533306031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,03,1,09,8,1,59600,,1,11086
533306041,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,04,1,09,6,1,16500,1,1,11086
533306041,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,04,1,09,8,1,16500,,1,11086
533306051,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,05,1,09,6,1,19500,1,1,11086
533306051,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,05,1,09,8,1,19500,,1,11086
533306061,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,06,1,09,5,1,1500,3,1,11086
533306061,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,06,1,09,8,1,1500,,1,11086
533361021,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,02,1,09,3,1,65800,3,2,32200
533361021,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,02,1,09,8,1,65800,,2,32200
533341011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,1,09,2,1,350000,2,1,9500
533341011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,1,09,3,1,25000,3,1,9500
533341011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,1,09,8,2,375000,,1,9500
533345011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,01,1,09,3,1,15000,3,1,52250
533345011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,01,1,09,8,1,15000,,1,52250
533381021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,02,1,09,2,1,420000,2,2,21800
533381021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,02,1,09,3,1,25000,2,2,21800
533381021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,02,1,09,8,2,445000,,2,21800
533384011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,1,09,3,1,60000,2,2,54500
533384011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,1,09,8,1,60000,,2,54500
533531011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,01,1,09,3,1,80000,3,2,17100
533531011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,01,1,09,8,1,80000,,2,17100
533572021,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,2,02,1,09,3,1,50000,3,2,20250
533572021,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,2,02,1,09,8,1,50000,,2,20250
533575021,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,5,02,1,09,3,1,65000,3,2,101250
533575021,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,5,02,1,09,8,1,65000,,2,101250
533576021,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,6,02,1,09,3,1,4500,3,2,637875
533576021,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,6,02,1,09,8,1,4500,,2,637875
533521011,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,1,01,1,09,3,1,40000,3,1,3900
533521011,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,1,01,1,09,8,1,40000,,1,3900
