HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b9q2,b9q3,b9q4,NSC,MLT
533352011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,2,01,1,10,05,6,1150,2,31000
533352011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,2,01,1,10,13,6,1150,2,31000
533353011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,01,1,10,05,6,900,2,241800
533353011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,01,1,10,13,6,900,2,241800
533353021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,02,1,10,05,4,650,2,241800
533353021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,02,1,10,13,4,650,2,241800
533353031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,03,1,10,05,5,1000,2,241800
533353031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,03,1,10,13,5,1000,2,241800
533353041,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,04,1,10,05,3,400,2,241800
533353041,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,04,1,10,13,3,400,2,241800
533353051,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,05,1,10,05,5,850,2,241800
533353051,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,05,1,10,13,5,850,2,241800
533355011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,01,1,10,05,8,1350,2,31000
533355011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,01,1,10,13,8,1350,2,31000
533355021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,02,1,10,05,3,560,2,31000
533355021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,5,02,1,10,13,3,560,2,31000
533356011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,01,1,10,05,7,1200,2,434000
533356011,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,01,1,10,13,7,1200,2,434000
533356021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,02,1,10,05,4,1350,2,434000
533356021,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,02,1,10,13,4,1350,2,434000
533356031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,03,1,10,05,3,470,2,434000
533356031,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,03,1,10,13,3,470,2,434000
533356041,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,04,1,10,05,6,850,2,434000
533356041,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,6,04,1,10,13,6,850,2,434000
533372011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,2,01,1,10,05,10,2000,2,14450
533372011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,2,01,1,10,13,10,2000,2,14450
533373011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,01,1,10,05,10,3000,2,121380
533373011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,01,1,10,13,10,3000,2,121380
533373031,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,03,1,10,05,6,2000,2,121380
533373031,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,03,1,10,13,6,2000,2,121380
533373041,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,04,1,10,05,12,2200,2,121380
533373041,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,04,1,10,13,12,2200,2,121380
533373051,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,05,1,10,05,8,1500,2,121380
533373051,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,05,1,10,13,8,1500,2,121380
533374011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,01,1,10,05,10,8000,2,14450
533374011,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,01,1,10,13,10,8000,2,14450
533374021,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,4,02,1,10,05,12,1800,2,14450
