HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b10q2,b10q3,NSC,MLT
533373021,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,02,1,11,10,15000,2,121380
533373021,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,02,1,11,15,15000,2,121380
533373021,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,02,1,11,18,30000,2,121380
533373021,771,53337,77,182,1,1,012,01,0105,05,05,32,1,0110,3,02,1,11,20,45000,2,121380
533301011,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,01,1,11,09,2500,1,9700
533301011,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,01,1,11,15,2500,1,9700
533301011,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,01,1,11,19,14500,1,9700
533301011,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,01,1,11,20,17000,1,9700
533365041,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,04,1,11,18,1250,2,104650
533365041,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,04,1,11,19,1850,2,104650
533365041,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,04,1,11,20,3100,2,104650
533341011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,1,11,18,35000,1,9500
533341011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,1,11,19,5000,1,9500
533341011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,1,11,20,40000,1,9500
533384011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,1,11,09,3500,2,54500
533384011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,1,11,11,150,2,54500
533384011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,1,11,15,3650,2,54500
533384011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,1,11,18,120,2,54500
533384011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,1,11,19,35000,2,54500
533384011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,1,11,20,38770,2,54500
533531011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,01,1,11,18,100000,2,17100
533531011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,01,1,11,19,15000,2,17100
533531011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,01,1,11,20,115000,2,17100
533572011,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,2,01,1,11,18,20000,2,20250
533572011,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,2,01,1,11,20,20000,2,20250
533526021,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,6,02,1,11,18,35000,1,3900
533526021,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,6,02,1,11,19,10000,1,3900
533526021,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,6,02,1,11,20,45000,1,3900
533502011,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,2,01,1,11,18,650,1,5300
533502011,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,2,01,1,11,20,650,1,5300
533561011,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,1,01,1,11,05,3500,1,12800
533561011,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,1,01,1,11,15,3500,1,12800
533561011,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,1,01,1,11,20,3500,1,12800
533561021,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,1,02,1,11,07,15500,1,12800
533561021,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,1,02,1,11,15,15500,1,12800
533561021,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,1,02,1,11,19,30000,1,12800
533561021,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,1,02,1,11,20,45500,1,12800
