HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b11bq1,b11bq3,b11bq4,b11bq5,b11bq6,NSC,MLT
533544021,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,4,02,1,13,1,12000,2000,0,10000,2,357000
533544021,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,4,02,1,13,5,12000,2000,0,10000,2,357000
533162011,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,2,01,1,13,1,48000,,,48000,1,11900
533162011,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,2,01,1,13,5,48000,,,48000,1,11900
537371011,771,53737,77,182,1,1,022,02,0201,01,01,11,1,0212,1,01,1,13,2,150000,0,0,150000,2,18500
537371011,771,53737,77,182,1,1,022,02,0201,01,01,11,1,0212,1,01,1,13,5,150000,0,0,150000,2,18500
537361041,771,53736,77,182,1,1,021,02,0202,02,02,31,1,0212,1,04,1,13,4,11000,,,11000,2,243750
537361041,771,53736,77,182,1,1,021,02,0202,02,02,31,1,0212,1,04,1,13,5,11000,,,11000,2,243750
537363011,771,53736,77,182,1,1,021,02,0202,02,02,31,1,0212,3,01,1,13,4,1000,,,1000,2,2925000
537363011,771,53736,77,182,1,1,021,02,0202,02,02,31,1,0212,3,01,1,13,5,1000,,,1000,2,2925000
537364011,771,53736,77,182,1,1,021,02,0202,02,02,31,1,0212,4,01,1,13,2,60000,,,60000,2,146250
537364011,771,53736,77,182,1,1,021,02,0202,02,02,31,1,0212,4,01,1,13,5,60000,,,60000,2,146250
537541011,771,53754,77,182,1,1,021,02,0206,06,06,31,1,0211,1,01,1,13,4,100,0,0,100,2,67313
537541011,771,53754,77,182,1,1,021,02,0206,06,06,31,1,0211,1,01,1,13,5,100,0,0,100,2,67313
537541021,771,53754,77,182,1,1,021,02,0206,06,06,31,1,0211,1,02,1,13,4,100,0,0,100,2,67313
537541021,771,53754,77,182,1,1,021,02,0206,06,06,31,1,0211,1,02,1,13,5,100,0,0,100,2,67313
537541031,771,53754,77,182,1,1,021,02,0206,06,06,31,1,0211,1,03,1,13,4,100,0,0,100,2,67313
537541031,771,53754,77,182,1,1,021,02,0206,06,06,31,1,0211,1,03,1,13,5,100,0,0,100,2,67313
537544011,771,53754,77,182,1,1,021,02,0206,06,06,31,1,0211,4,01,1,13,4,100,0,0,100,2,98725
537544011,771,53754,77,182,1,1,021,02,0206,06,06,31,1,0211,4,01,1,13,5,100,0,0,100,2,98725
537544041,771,53754,77,182,1,1,021,02,0206,06,06,31,1,0211,4,04,1,13,4,100,0,0,100,2,98725
537544041,771,53754,77,182,1,1,021,02,0206,06,06,31,1,0211,4,04,1,13,5,100,0,0,100,2,98725
537546021,771,53754,77,182,1,1,021,02,0206,06,06,31,1,0211,6,02,1,13,4,100,0,0,100,2,439775
537546021,771,53754,77,182,1,1,021,02,0206,06,06,31,1,0211,6,02,1,13,5,100,0,0,100,2,439775
537581021,771,53758,77,182,1,1,021,02,0207,07,07,21,1,0211,1,02,1,13,4,1000,0,0,1000,2,16800
537581021,771,53758,77,182,1,1,021,02,0207,07,07,21,1,0211,1,02,1,13,5,1000,0,0,1000,2,16800
537583011,771,53758,77,182,1,1,021,02,0207,07,07,21,1,0211,3,01,1,13,4,1500,0,0,1500,2,36000
537583011,771,53758,77,182,1,1,021,02,0207,07,07,21,1,0211,3,01,1,13,5,1500,0,0,1500,2,36000
537583021,771,53758,77,182,1,1,021,02,0207,07,07,21,1,0211,3,02,1,13,4,1000,0,0,1000,2,36000
537583021,771,53758,77,182,1,1,021,02,0207,07,07,21,1,0211,3,02,1,13,5,1000,0,0,1000,2,36000
537585011,771,53758,77,182,1,1,021,02,0207,07,07,21,1,0211,5,01,1,13,4,500,0,0,500,2,10800
537585011,771,53758,77,182,1,1,021,02,0207,07,07,21,1,0211,5,01,1,13,5,500,0,0,500,2,10800
537586021,771,53758,77,182,1,1,021,02,0207,07,07,21,1,0211,6,02,1,13,4,500,0,0,500,2,100800
537586021,771,53758,77,182,1,1,021,02,0207,07,07,21,1,0211,6,02,1,13,5,500,0,0,500,2,100800
537756021,771,53775,77,182,1,1,021,02,0207,07,07,31,1,0211,6,02,1,13,4,500,0,0,500,2,964850
537756021,771,53775,77,182,1,1,021,02,0207,07,07,31,1,0211,6,02,1,13,5,500,0,0,500,2,964850
537773011,771,53777,77,182,1,1,022,02,0208,08,08,11,1,0211,3,01,1,13,4,10000,0,0,10000,1,48000
537773011,771,53777,77,182,1,1,022,02,0208,08,08,11,1,0211,3,01,1,13,5,10000,0,0,10000,1,48000
537773031,771,53777,77,182,1,1,022,02,0208,08,08,11,1,0211,3,03,1,13,4,10000,0,0,10000,1,48000
537773031,771,53777,77,182,1,1,022,02,0208,08,08,11,1,0211,3,03,1,13,5,10000,0,0,10000,1,48000
537774031,771,53777,77,182,1,1,022,02,0208,08,08,11,1,0211,4,03,1,13,4,1500,0,0,1500,1,48000
537774031,771,53777,77,182,1,1,022,02,0208,08,08,11,1,0211,4,03,1,13,5,1500,0,0,1500,1,48000
537776011,771,53777,77,182,1,1,022,02,0208,08,08,11,1,0211,6,01,1,13,4,5000,0,0,5000,1,96000
537776011,771,53777,77,182,1,1,022,02,0208,08,08,11,1,0211,6,01,1,13,5,5000,0,0,5000,1,96000
537713011,771,53771,77,182,1,1,022,02,0209,09,09,31,1,0210,3,01,1,13,2,0,7000,6800,-200,2,32900
537713011,771,53771,77,182,1,1,022,02,0209,09,09,31,1,0210,3,01,1,13,5,0,7000,6800,-200,2,32900
537714031,771,53771,77,182,1,1,022,02,0209,09,09,31,1,0210,4,03,1,13,1,500000,0,0,500000,2,41125
537714031,771,53771,77,182,1,1,022,02,0209,09,09,31,1,0210,4,03,1,13,5,500000,0,0,500000,2,41125
537994041,771,53799,77,182,1,1,022,02,0212,12,12,31,1,0210,4,04,1,13,4,300,,,300,2,45850
537994041,771,53799,77,182,1,1,022,02,0212,12,12,31,1,0210,4,04,1,13,5,300,,,300,2,45850
537133051,771,53713,77,182,1,1,021,02,0206,06,06,11,2,0211,3,05,1,13,4,1000,0,0,1000,2,76440
537133051,771,53713,77,182,1,1,021,02,0206,06,06,11,2,0211,3,05,1,13,5,1000,0,0,1000,2,76440
537134011,771,53713,77,182,1,1,021,02,0206,06,06,11,2,0211,4,01,1,13,4,1400,0,0,1400,2,91000
537134011,771,53713,77,182,1,1,021,02,0206,06,06,11,2,0211,4,01,1,13,5,1400,0,0,1400,2,91000
537171031,771,53717,77,182,1,1,021,02,0207,07,07,31,2,0211,1,03,1,13,4,500,0,0,500,2,73413
537171031,771,53717,77,182,1,1,021,02,0207,07,07,31,2,0211,1,03,1,13,5,500,0,0,500,2,73413
537171041,771,53717,77,182,1,1,021,02,0207,07,07,31,2,0211,1,04,1,13,4,1000,0,0,1000,2,73413
537171041,771,53717,77,182,1,1,021,02,0207,07,07,31,2,0211,1,04,1,13,5,1000,0,0,1000,2,73413
537173011,771,53717,77,182,1,1,021,02,0207,07,07,31,2,0211,3,01,1,13,4,10000,0,0,10000,2,41950
537173011,771,53717,77,182,1,1,021,02,0207,07,07,31,2,0211,3,01,1,13,5,10000,0,0,10000,2,41950
537173021,771,53717,77,182,1,1,021,02,0207,07,07,31,2,0211,3,02,1,13,4,2000,0,0,2000,2,41950
537173021,771,53717,77,182,1,1,021,02,0207,07,07,31,2,0211,3,02,1,13,5,2000,0,0,2000,2,41950
537175011,771,53717,77,182,1,1,021,02,0207,07,07,31,2,0211,5,01,1,13,4,1500,0,0,1500,2,41950
537175011,771,53717,77,182,1,1,021,02,0207,07,07,31,2,0211,5,01,1,13,5,1500,0,0,1500,2,41950
537175021,771,53717,77,182,1,1,021,02,0207,07,07,31,2,0211,5,02,1,13,4,500,0,0,500,2,41950
537175021,771,53717,77,182,1,1,021,02,0207,07,07,31,2,0211,5,02,1,13,5,500,0,0,500,2,41950
537191011,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,1,01,1,13,4,1500,0,0,1500,2,28800
537191011,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,1,01,1,13,5,1500,0,0,1500,2,28800
537191021,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,1,02,1,13,4,12000,0,0,12000,2,28800
537191021,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,1,02,1,13,5,12000,0,0,12000,2,28800
537191031,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,1,03,1,13,4,1500,0,0,1500,2,28800
537191031,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,1,03,1,13,5,1500,0,0,1500,2,28800
537191041,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,1,04,1,13,4,4500,0,0,4500,2,28800
537191041,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,1,04,1,13,5,4500,0,0,4500,2,28800
537194011,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,4,01,1,13,4,1000,0,0,1000,2,97200
537194011,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,4,01,1,13,5,1000,0,0,1000,2,97200
537194021,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,4,02,1,13,4,1500,0,0,1500,2,97200
537194021,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,4,02,1,13,5,1500,0,0,1500,2,97200
537195011,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,5,01,1,13,4,1500,0,0,1500,2,14400
537195011,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,5,01,1,13,5,1500,0,0,1500,2,14400
537195021,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,5,02,1,13,4,2500,0,0,2500,2,14400
537195021,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,5,02,1,13,5,2500,0,0,2500,2,14400
537196011,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,6,01,1,13,4,5500,0,0,5500,2,140400
537196011,771,53719,77,182,1,1,021,02,0207,07,07,21,2,0211,6,01,1,13,5,5500,0,0,5500,2,140400
537111011,771,53711,77,182,1,1,022,02,0208,08,08,21,2,0211,1,01,1,13,4,200,,,200,1,40350
537111011,771,53711,77,182,1,1,022,02,0208,08,08,21,2,0211,1,01,1,13,5,200,,,200,1,40350
537111021,771,53711,77,182,1,1,022,02,0208,08,08,21,2,0211,1,02,1,13,4,1000,,,1000,1,40350
537111021,771,53711,77,182,1,1,022,02,0208,08,08,21,2,0211,1,02,1,13,5,1000,,,1000,1,40350
537113011,771,53711,77,182,1,1,022,02,0208,08,08,21,2,0211,3,01,1,13,4,1000,,,1000,1,349700
537113011,771,53711,77,182,1,1,022,02,0208,08,08,21,2,0211,3,01,1,13,5,1000,,,1000,1,349700
537103021,771,53710,77,182,1,1,022,02,0208,08,08,31,2,0211,3,02,1,13,1,200000,0,0,200000,2,232000
537103021,771,53710,77,182,1,1,022,02,0208,08,08,31,2,0211,3,02,1,13,5,200000,0,0,200000,2,232000
537104021,771,53710,77,182,1,1,022,02,0208,08,08,31,2,0211,4,02,1,13,4,500,0,0,500,2,162400
537104021,771,53710,77,182,1,1,022,02,0208,08,08,31,2,0211,4,02,1,13,5,500,0,0,500,2,162400
532691011,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,1,01,1,13,4,8000,0,0,8000,2,11125
532691011,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,1,01,1,13,5,8000,0,0,8000,2,11125
532691021,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,1,02,1,13,4,1500,0,0,1500,2,11125
532691021,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,1,02,1,13,5,1500,0,0,1500,2,11125
532691031,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,1,03,1,13,4,3000,0,0,3000,2,11125
