HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b14q2,b14q3,b14q4,b14q5,b14q6,b14q7,b14q8,NSC,MLT
533353051,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,05,1,16,11,,450,,150,,600,2,241800
533353051,771,53335,77,182,1,1,012,01,0105,05,05,31,1,0110,3,05,1,16,97,,450,,150,,600,2,241800
533301011,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,01,1,16,19,,3000,,,,3000,1,9700
533301011,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,01,1,16,98,,3000,,,,3000,1,9700
533301021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,02,1,16,02,,,,10500,,10500,1,9700
533301021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,02,1,16,11,,140,500,,,640,1,9700
533301021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,02,1,16,97,,140,500,10500,,11140,1,9700
533301031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,03,1,16,07,,,145000,,,145000,1,9700
533301031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,03,1,16,09,,,,,15000,15000,1,9700
533301031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,03,1,16,11,,140,,,,140,1,9700
533301031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,03,1,16,97,,140,145000,,15000,160140,1,9700
533303021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,3,02,1,16,11,,210,,,,210,1,9700
533303021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,3,02,1,16,97,,210,,,,210,1,9700
533306021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,02,1,16,11,,,,45,,45,1,11086
533306021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,02,1,16,97,,,,45,,45,1,11086
533306031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,03,1,16,02,,350000,,,,350000,1,11086
533306031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,03,1,16,97,,350000,,,,350000,1,11086
533306051,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,05,1,16,11,,200,,,,200,1,11086
533306051,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,05,1,16,97,,200,,,,200,1,11086
533361011,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,01,1,16,04,,,,,15000,15000,2,32200
533361011,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,01,1,16,97,,,,,15000,15000,2,32200
533341011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,1,16,02,,100000,90000,,,190000,1,9500
533341011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,1,16,11,,400,,200,,600,1,9500
533341011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,1,16,20,,1000000,,,,1000000,1,9500
533341011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,1,16,97,,100400,90000,200,,190600,1,9500
533341011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,1,16,98,,1000000,,,,1000000,1,9500
533342011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,01,1,16,11,,350,,100,,450,1,12667
533342011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,01,1,16,13,,,,,,,1,12667
533342011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,01,1,16,97,,350,,100,,450,1,12667
533342021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,02,1,16,11,,,,500,,500,1,12667
533342021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,02,1,16,13,,11000,,,,11000,1,12667
533342021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,02,1,16,97,,11000,,500,,11500,1,12667
533342031,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,03,1,16,02,,,,10000,,10000,1,12667
533342031,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,03,1,16,11,,400,,,,400,1,12667
533342031,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,03,1,16,13,,10000,,,,10000,1,12667
533342031,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,03,1,16,97,,10400,,10000,,20400,1,12667
533343011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,3,01,1,16,11,,400,,,,400,1,47500
533343011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,3,01,1,16,13,,5000,,,,5000,1,47500
533343011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,3,01,1,16,97,,5400,,,,5400,1,47500
533343021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,3,02,1,16,02,,,,25000,,25000,1,47500
533343021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,3,02,1,16,11,,500,,,,500,1,47500
533343021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,3,02,1,16,97,,500,,25000,,25500,1,47500
533344011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,4,01,1,16,02,,,,15000,,15000,1,28500
533344011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,4,01,1,16,11,,,600,,,600,1,28500
533344011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,4,01,1,16,97,,,600,15000,,15600,1,28500
533344021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,4,02,1,16,02,,,,8000,,8000,1,28500
533344021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,4,02,1,16,11,,450,,,,450,1,28500
533344021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,4,02,1,16,97,,450,,8000,,8450,1,28500
533345011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,01,1,16,02,,,,7000,,7000,1,52250
533345011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,01,1,16,11,,,,400,,400,1,52250
533345011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,01,1,16,13,,3000,,,,3000,1,52250
533345011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,01,1,16,97,,3000,,7400,,10400,1,52250
533345021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,02,1,16,02,,,,9000,,9000,1,52250
533345021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,02,1,16,11,,,,400,,400,1,52250
533345021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,02,1,16,13,,6800,,,,6800,1,52250
533345021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,02,1,16,97,,6800,,9400,,16200,1,52250
533346011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,6,01,1,16,02,,,,4000,,4000,1,185250
533346011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,6,01,1,16,97,,,,4000,,4000,1,185250
533346021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,6,02,1,16,02,,,,15000,,15000,1,185250
533346021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,6,02,1,16,11,,800,,,,800,1,185250
533346021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,6,02,1,16,13,,15000,,,,15000,1,185250
533346021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,6,02,1,16,97,,15800,,15000,,30800,1,185250
533531011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,01,1,16,02,,,,10000,,10000,2,17100
533531011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,01,1,16,11,,400,,,,400,2,17100
533531011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,01,1,16,97,,400,,10000,,10400,2,17100
533531021,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,02,1,16,02,,,,20000,,20000,2,17100
