HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,District,State_District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,Informant_Slno,Resp_Code,Survey_Code,Substn_Code,b2q1aii,b2q1aii2,b2q1bii,Survey_Date,Despatch_Date,TimeToCanvass,b2inv,b2remarks1,b2remarks2,b2remarks3,b2remarks4,NSC,MLT
533352012,771,53335,77,182,1,1,012,01,05,0105,05,31,1,0110,2,01,2,01,01,1,1,,J021,S005,,181019,041119,045,1,2,2,2,2,2,31000
533353012,771,53335,77,182,1,1,012,01,05,0105,05,31,1,0110,3,01,2,01,01,1,1,,J021,S005,,151019,041119,045,1,2,2,2,2,2,241800
533353022,771,53335,77,182,1,1,012,01,05,0105,05,31,1,0110,3,02,2,01,01,1,1,,J021,S005,,171019,041119,040,1,2,2,2,2,2,241800
533353032,771,53335,77,182,1,1,012,01,05,0105,05,31,1,0110,3,03,2,01,01,1,1,,J021,S005,,181019,041119,045,1,2,2,2,2,2,241800
533353042,771,53335,77,182,1,1,012,01,05,0105,05,31,1,0110,3,04,2,01,01,1,1,,J021,S005,,151019,041119,035,1,2,2,2,2,2,241800
533353052,771,53335,77,182,1,1,012,01,05,0105,05,31,1,0110,3,05,2,01,03,1,1,,J021,S005,,191019,041119,050,1,2,2,2,2,2,241800
533355012,771,53335,77,182,1,1,012,01,05,0105,05,31,1,0110,5,01,2,01,01,1,1,,J021,S005,,151019,041119,055,1,2,2,2,2,2,31000
533355022,771,53335,77,182,1,1,012,01,05,0105,05,31,1,0110,5,02,2,01,01,2,1,,J021,S005,,171019,041119,040,1,2,2,2,2,2,31000
533356012,771,53335,77,182,1,1,012,01,05,0105,05,31,1,0110,6,01,2,01,01,1,1,,J021,S005,,161019,041119,050,1,2,2,2,2,2,434000
533356022,771,53335,77,182,1,1,012,01,05,0105,05,31,1,0110,6,02,2,01,01,1,1,,J021,S005,,191019,041119,050,1,2,2,2,2,2,434000
533356032,771,53335,77,182,1,1,012,01,05,0105,05,31,1,0110,6,03,2,01,01,1,1,,J021,S005,,161019,041119,060,1,2,2,2,2,2,434000
533356042,771,53335,77,182,1,1,012,01,05,0105,05,31,1,0110,6,04,2,01,01,1,1,,J021,S005,,161019,041119,040,1,2,2,2,2,2,434000
533372012,771,53337,77,182,1,1,012,01,05,0105,05,32,1,0110,2,01,2,01,01,1,1,,J017,S006,,111019,011119,050,1,2,2,2,2,2,14450
533373012,771,53337,77,182,1,1,012,01,05,0105,05,32,1,0110,3,01,2,01,03,1,1,,J017,S006,,121019,011119,030,1,2,1,2,2,2,121380
533373022,771,53337,77,182,1,1,012,01,05,0105,05,32,1,0110,3,02,2,01,01,1,1,,J017,S006,,131019,011219,030,1,2,2,2,2,2,121380
533373032,771,53337,77,182,1,1,012,01,05,0105,05,32,1,0110,3,03,2,01,03,1,1,,J017,S006,,131019,011119,040,1,2,2,2,2,2,121380
533373042,771,53337,77,182,1,1,012,01,05,0105,05,32,1,0110,3,04,2,01,01,1,1,,J017,S006,,131019,011119,050,1,2,2,2,2,2,121380
533373052,771,53337,77,182,1,1,012,01,05,0105,05,32,1,0110,3,05,2,01,01,1,1,,J017,S006,,121019,011119,030,1,2,2,2,2,2,121380
533374012,771,53337,77,182,1,1,012,01,05,0105,05,32,1,0110,4,01,2,01,01,1,1,,J017,S006,,141019,011119,045,1,2,2,2,2,2,14450
533374022,771,53337,77,182,1,1,012,01,05,0105,05,32,1,0110,4,02,2,01,01,1,1,,J017,S006,,111019,011119,050,1,2,2,2,2,2,14450
533374032,771,53337,77,182,1,1,012,01,05,0105,05,32,1,0110,4,03,2,01,01,1,1,,J017,S006,,141019,011119,050,1,2,2,2,2,2,14450
533375012,771,53337,77,182,1,1,012,01,05,0105,05,32,1,0110,5,01,2,01,01,1,1,,J017,S006,,151019,011119,040,1,2,2,2,2,2,14450
533376012,771,53337,77,182,1,1,012,01,05,0105,05,32,1,0110,6,01,2,01,01,1,1,,J017,S006,,151019,011119,040,1,2,2,2,2,2,469625
533376022,771,53337,77,182,1,1,012,01,05,0105,05,32,1,0110,6,02,2,01,01,1,1,,J017,S006,,101019,011119,035,1,2,2,2,2,2,469625
533392012,771,53339,77,182,1,1,012,01,06,0106,06,31,1,0110,2,01,2,01,01,1,1,,J013,S005,7889,191019,041119,035,2,2,2,2,2,2,58000
533393012,771,53339,77,182,1,1,012,01,06,0106,06,31,1,0110,3,01,2,01,02,1,1,,J013,S005,7889,191019,041119,015,2,2,2,2,2,2,881600
533393022,771,53339,77,182,1,1,012,01,06,0106,06,31,1,0110,3,02,2,01,01,1,1,,J013,S005,7889,191019,041119,030,2,2,2,2,2,2,881600
533393032,771,53339,77,182,1,1,012,01,06,0106,06,31,1,0110,3,03,2,01,01,1,1,,J013,S005,7889,191019,041119,025,2,2,2,2,2,2,881600
533393042,771,53339,77,182,1,1,012,01,06,0106,06,31,1,0110,3,04,2,01,01,1,1,,J013,S005,7889,201019,041119,015,2,2,2,2,2,2,881600
533393052,771,53339,77,182,1,1,012,01,06,0106,06,31,1,0110,3,05,2,01,01,1,1,,J013,S005,7889,201019,041119,020,2,2,2,2,2,2,881600
533396012,771,53339,77,182,1,1,012,01,06,0106,06,31,1,0110,6,01,2,01,01,1,1,,J013,S005,7889,201019,041119,020,2,2,2,2,2,2,261000
533396022,771,53339,77,182,1,1,012,01,06,0106,06,31,1,0110,6,02,2,01,01,1,1,,J013,S005,7889,201019,041119,020,2,2,2,2,2,2,261000
533396032,771,53339,77,182,1,1,012,01,06,0106,06,31,1,0110,6,03,2,01,02,1,1,,J013,S005,7889,211019,041119,020,2,2,2,2,2,2,261000
533396042,771,53339,77,182,1,1,012,01,06,0106,06,31,1,0110,6,04,2,01,01,1,1,,J013,S005,7889,211019,041119,015,2,2,2,2,2,2,261000
533396052,771,53339,77,182,1,1,012,01,06,0106,06,31,1,0110,6,05,2,01,99,1,1,,J013,S005,7889,211019,041119,015,2,2,2,2,2,2,261000
533396062,771,53339,77,182,1,1,012,01,06,0106,06,31,1,0110,6,06,2,01,01,1,1,,J013,S005,7889,221019,041119,020,2,2,2,2,2,2,261000
533321012,771,53332,77,182,1,1,012,01,06,0106,06,21,1,0110,1,01,2,01,01,1,1,,J005,S007,,211019,301019,050,2,2,2,2,2,1,8400
533321022,771,53332,77,182,1,1,012,01,06,0106,06,21,1,0110,1,02,2,01,01,1,1,,J005,S007,,231019,301019,040,2,2,2,2,2,1,8400
533322012,771,53332,77,182,1,1,012,01,06,0106,06,21,1,0110,2,01,2,01,01,1,1,,J005,S007,,221019,301019,055,2,2,2,2,2,1,16800
533322022,771,53332,77,182,1,1,012,01,06,0106,06,21,1,0110,2,02,2,01,06,1,1,,J005,S007,,251019,301019,050,2,2,2,2,2,1,16800
533323012,771,53332,77,182,1,1,012,01,06,0106,06,21,1,0110,3,01,2,01,01,1,1,,J005,S007,,241019,301019,045,2,2,2,2,2,1,19600
