HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b13q1,b13q2,b13q3,b13q4,b13q5,NSC,MLT
533321012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,2,15,01,2,1,3,100000,1,8400
533321012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,2,15,99,,,,100000,1,8400
533321022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,02,2,15,01,2,1,3,6000,1,8400
533321022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,02,2,15,99,,,,6000,1,8400
533324012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,4,01,2,15,01,2,1,3,12000,1,8400
533324012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,4,01,2,15,99,,,,12000,1,8400
533324022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,4,02,2,15,01,2,1,3,2500,1,8400
533324022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,4,02,2,15,99,,,,2500,1,8400
533325012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,5,01,2,15,01,2,1,3,2000,1,72800
533325012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,5,01,2,15,99,,,,2000,1,72800
533362012,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,2,01,2,15,01,2,9,9,650,2,177100
533362012,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,2,01,2,15,99,,,,650,2,177100
533362022,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,2,02,2,15,01,2,2,9,450,2,177100
533362022,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,2,02,2,15,99,,,,450,2,177100
533363022,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,3,02,2,15,01,2,9,9,1200,2,386400
533363022,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,3,02,2,15,99,,,,1200,2,386400
533365012,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,01,2,15,01,2,9,9,6500,2,104650
533365012,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,01,2,15,99,,,,6500,2,104650
533365032,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,03,2,15,01,2,2,9,579,2,104650
533365032,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,03,2,15,99,,,,579,2,104650
533381012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,01,2,15,01,2,2,9,1540,2,21800
533381012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,01,2,15,99,,,,1540,2,21800
533381022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,02,2,15,01,2,2,9,1250,2,21800
533381022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,02,2,15,99,,,,1250,2,21800
533382012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,2,01,2,15,01,3,2,9,650,2,49050
533382012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,2,01,2,15,99,,,,650,2,49050
533382022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,2,02,2,15,01,3,2,2,3400,2,49050
533382022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,2,02,2,15,99,,,,3400,2,49050
533383012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,3,01,2,15,01,4,9,9,1685,2,109000
533383012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,3,01,2,15,99,,,,1685,2,109000
533383022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,3,02,2,15,01,2,2,9,650,2,109000
533383022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,3,02,2,15,99,,,,650,2,109000
533384012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,2,15,01,3,9,9,2000,2,54500
533384012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,2,15,99,,,,2000,2,54500
533384022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,02,2,15,01,3,9,9,2500,2,54500
533384022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,02,2,15,99,,,,2500,2,54500
533385012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,5,01,2,15,01,3,9,9,450,2,92650
533385012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,5,01,2,15,99,,,,450,2,92650
533385022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,5,02,2,15,01,2,9,9,650,2,92650
533385022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,5,02,2,15,99,,,,650,2,92650
533386012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,6,01,2,15,01,3,9,9,745,2,261600
533386012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,6,01,2,15,99,,,,745,2,261600
533535022,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,5,02,2,15,01,2,2,3,1500,2,68400
533535022,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,5,02,2,15,99,,,,1500,2,68400
533551012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,1,01,2,15,01,2,9,9,1500,2,4600
533551012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,1,01,2,15,99,,,,1500,2,4600
533551022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,1,02,2,15,01,3,9,9,2300,2,4600
533551022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,1,02,2,15,99,,,,2300,2,4600
533552012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,2,01,2,15,01,2,9,9,1000,2,2300
533552012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,2,01,2,15,99,,,,1000,2,2300
533552022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,2,02,2,15,01,2,9,9,1200,2,2300
533552022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,2,02,2,15,99,,,,1200,2,2300
533553012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,3,01,2,15,01,2,9,9,850,2,5750
533553012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,3,01,2,15,99,,,,850,2,5750
533553022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,3,02,2,15,01,2,9,9,1350,2,5750
533553022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,3,02,2,15,99,,,,1350,2,5750
533556012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,6,01,2,15,01,3,9,9,1500,2,9200
533556012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,6,01,2,15,99,,,,1500,2,9200
533556022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,6,02,2,15,01,2,9,9,1450,2,9200
