HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b11cq1,b11cq3,NSC,MLT
533393022,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,02,2,18,4,1300,2,881600
533393022,771,53339,77,182,1,1,012,01,0106,06,06,31,1,0110,3,02,2,18,7,1300,2,881600
533321022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,02,2,18,4,1500,1,8400
533321022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,02,2,18,7,1500,1,8400
533322012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,01,2,18,2,3260,1,16800
533322012,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,01,2,18,7,3260,1,16800
533322022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,02,2,18,2,28000,1,16800
533322022,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,02,2,18,7,28000,1,16800
533313022,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,02,2,18,4,1700,2,62292
533313022,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,02,2,18,7,1700,2,62292
533313042,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,04,2,18,4,1700,2,62292
533313042,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,04,2,18,7,1700,2,62292
533314022,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,02,2,18,1,12010,2,249167
533314022,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,02,2,18,7,12010,2,249167
533314032,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,03,2,18,1,7000,2,249167
533314032,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,03,2,18,7,7000,2,249167
533315012,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,5,01,2,18,1,6000,2,28750
533315012,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,5,01,2,18,7,6000,2,28750
533301022,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,02,2,18,4,855,1,9700
533301022,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,02,2,18,7,855,1,9700
533301032,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,03,2,18,1,24000,1,9700
533301032,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,03,2,18,4,12000,1,9700
533301032,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,03,2,18,7,36000,1,9700
533303022,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,3,02,2,18,1,35000,1,9700
533303022,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,3,02,2,18,4,1700,1,9700
533303022,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,3,02,2,18,7,36700,1,9700
533306032,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,03,2,18,4,750,1,11086
533306032,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,03,2,18,7,750,1,11086
533361012,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,01,2,18,1,15600,2,32200
533361012,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,01,2,18,2,354,2,32200
533361012,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,01,2,18,3,360,2,32200
533361012,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,01,2,18,7,16314,2,32200
533361022,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,02,2,18,1,25000,2,32200
533361022,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,02,2,18,3,360,2,32200
533361022,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,02,2,18,4,1650,2,32200
533361022,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,02,2,18,7,27010,2,32200
533362022,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,2,02,2,18,2,347,2,177100
533362022,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,2,02,2,18,7,347,2,177100
533363012,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,3,01,2,18,2,346,2,386400
533363012,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,3,01,2,18,7,346,2,386400
533363022,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,3,02,2,18,2,692,2,386400
533363022,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,3,02,2,18,7,692,2,386400
533365042,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,04,2,18,2,650,2,104650
533365042,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,04,2,18,7,650,2,104650
533341012,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,2,18,4,21600,1,9500
533341012,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,2,18,7,21600,1,9500
533345012,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,01,2,18,4,960,1,52250
533345012,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,01,2,18,7,960,1,52250
533381012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,01,2,18,2,356,2,21800
533381012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,01,2,18,7,356,2,21800
533381022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,02,2,18,1,8500,2,21800
533381022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,02,2,18,3,1345,2,21800
533381022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,02,2,18,4,15600,2,21800
533381022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,02,2,18,7,25445,2,21800
533382012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,2,01,2,18,1,7400,2,49050
533382012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,2,01,2,18,7,7400,2,49050
533382022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,2,02,2,18,2,360,2,49050
533382022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,2,02,2,18,5,1256,2,49050
533382022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,2,02,2,18,7,1616,2,49050
533383012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,3,01,2,18,2,356,2,109000
533383012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,3,01,2,18,7,356,2,109000
533383022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,3,02,2,18,2,356,2,109000
533383022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,3,02,2,18,5,1686,2,109000
533383022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,3,02,2,18,7,2042,2,109000
533384012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,2,18,2,356,2,54500
533384012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,2,18,4,1450,2,54500
533384012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,2,18,5,1266,2,54500
533384012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,2,18,7,3072,2,54500
533384022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,02,2,18,2,356,2,54500
533384022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,02,2,18,7,356,2,54500
533385012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,5,01,2,18,2,346,2,92650
533385012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,5,01,2,18,7,346,2,92650
533385022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,5,02,2,18,2,334,2,92650
533385022,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,5,02,2,18,7,334,2,92650
533386012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,6,01,2,18,2,1248,2,261600
533386012,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,6,01,2,18,7,1248,2,261600
533531012,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,01,2,18,4,2000,2,17100
533531012,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,01,2,18,7,2000,2,17100
533551022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,1,02,2,18,1,15000,2,4600
533551022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,1,02,2,18,2,1000,2,4600
533551022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,1,02,2,18,3,345,2,4600
533551022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,1,02,2,18,4,1200,2,4600
533551022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,1,02,2,18,7,17545,2,4600
533552022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,2,02,2,18,2,342,2,2300
533552022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,2,02,2,18,7,342,2,2300
533554012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,4,01,2,18,2,682,2,2300
533554012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,4,01,2,18,5,1250,2,2300
533554012,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,4,01,2,18,7,1932,2,2300
533554022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,4,02,2,18,1,8500,2,2300
533554022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,4,02,2,18,2,432,2,2300
533554022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,4,02,2,18,3,275,2,2300
533554022,771,53355,77,182,1,1,012,01,0118,18,18,21,1,0111,4,02,2,18,7,9207,2,2300
533571012,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,1,01,2,18,2,10500,2,20250
533571012,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,1,01,2,18,7,10500,2,20250
533572022,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,2,02,2,18,2,14300,2,20250
533572022,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,2,02,2,18,4,1230,2,20250
533572022,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,2,02,2,18,7,15530,2,20250
533575022,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,5,02,2,18,4,1210,2,101250
533575022,771,53357,77,182,1,1,012,01,0118,18,18,31,1,0111,5,02,2,18,7,1210,2,101250
533591012,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,1,01,2,18,2,5600,2,66300
533591012,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,1,01,2,18,7,5600,2,66300
533591022,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,1,02,2,18,2,6000,2,66300
533591022,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,1,02,2,18,7,6000,2,66300
533592012,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,2,01,2,18,3,3000,2,44200
533592012,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,2,01,2,18,7,3000,2,44200
533592022,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,2,02,2,18,2,5000,2,44200
533592022,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,2,02,2,18,7,5000,2,44200
533593012,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,3,01,2,18,3,4500,2,884000
533593012,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,3,01,2,18,7,4500,2,884000
533593022,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,3,02,2,18,3,5000,2,884000
533593022,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,3,02,2,18,7,5000,2,884000
533594012,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,4,01,2,18,3,3500,2,88400
533594012,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,4,01,2,18,7,3500,2,88400
533594022,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,4,02,2,18,3,6000,2,88400
533594022,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,4,02,2,18,7,6000,2,88400
533594032,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,4,03,2,18,3,5800,2,88400
533594032,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,4,03,2,18,7,5800,2,88400
533594042,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,4,04,2,18,3,6500,2,88400
533594042,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,4,04,2,18,7,6500,2,88400
533596012,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,6,01,2,18,3,3400,2,928200
533596012,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,6,01,2,18,7,3400,2,928200
533596022,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,6,02,2,18,3,6600,2,928200
533596022,771,53359,77,182,1,1,012,01,0119,19,19,31,1,0111,6,02,2,18,7,6600,2,928200
533521012,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,1,01,2,18,1,54000,1,3900
533521012,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,1,01,2,18,4,1906,1,3900
533521012,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,1,01,2,18,7,55906,1,3900
533523012,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,3,01,2,18,1,26500,1,3900
533523012,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,3,01,2,18,4,2631,1,3900
533523012,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,3,01,2,18,7,29131,1,3900
533525012,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,5,01,2,18,1,7350,1,3900
533525012,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,5,01,2,18,7,7350,1,3900
533526012,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,6,01,2,18,1,13000,1,3900
533526012,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,6,01,2,18,7,13000,1,3900
533526022,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,6,02,2,18,1,6817,1,3900
533526022,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,6,02,2,18,4,1900,1,3900
533526022,771,53352,77,182,1,1,012,01,0119,19,19,11,1,0111,6,02,2,18,7,8717,1,3900
533511012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,1,01,2,18,1,25000,2,132000
533511012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,1,01,2,18,2,356,2,132000
533511012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,1,01,2,18,4,1250,2,132000
533511012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,1,01,2,18,7,26606,2,132000
533511022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,1,02,2,18,1,15000,2,132000
533511022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,1,02,2,18,4,1000,2,132000
533511022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,1,02,2,18,7,16000,2,132000
533512012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,2,01,2,18,2,356,2,39600
533512012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,2,01,2,18,7,356,2,39600
533513022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,3,02,2,18,2,650,2,488400
533513022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,3,02,2,18,7,650,2,488400
533514012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,4,01,2,18,1,8500,2,26400
533514012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,4,01,2,18,7,8500,2,26400
533514022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,4,02,2,18,4,2500,2,26400
533514022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,4,02,2,18,7,2500,2,26400
533516012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,6,01,2,18,5,14000,2,198000
533516012,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,6,01,2,18,7,14000,2,198000
533516022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,6,02,2,18,5,12500,2,198000
533516022,771,53351,77,182,1,1,012,01,0120,20,20,31,1,0111,6,02,2,18,7,12500,2,198000
533501012,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,1,01,2,18,4,1757,1,5300
533501012,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,1,01,2,18,7,1757,1,5300
533501022,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,1,02,2,18,4,1437,1,5300
533501022,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,1,02,2,18,7,1437,1,5300
533501032,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,1,03,2,18,4,1550,1,5300
533501032,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,1,03,2,18,7,1550,1,5300
533503012,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,3,01,2,18,1,18600,1,50350
533503012,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,3,01,2,18,4,9200,1,50350
533503012,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,3,01,2,18,7,27800,1,50350
533503022,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,3,02,2,18,2,8500,1,50350
533503022,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,3,02,2,18,7,8500,1,50350
533504012,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,4,01,2,18,4,1980,1,15900
533504012,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,4,01,2,18,7,1980,1,15900
533505022,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,5,02,2,18,3,335,1,21200
533505022,771,53350,77,182,1,1,012,01,0120,20,20,21,1,0111,5,02,2,18,7,335,1,21200
533561032,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,1,03,2,18,4,25500,1,12800
533561032,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,1,03,2,18,7,25500,1,12800
533563012,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,3,01,2,18,1,5000,1,42667
533563012,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,3,01,2,18,4,700,1,42667
533563012,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,3,01,2,18,7,5700,1,42667
533563022,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,3,02,2,18,4,1250,1,42667
533563022,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,3,02,2,18,7,1250,1,42667
533564012,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,4,01,2,18,4,700,1,12800
533564012,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,4,01,2,18,7,700,1,12800
533564022,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,4,02,2,18,1,6024,1,12800
533564022,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,4,02,2,18,4,1950,1,12800
533564022,771,53356,77,182,1,1,011,01,0121,21,21,11,1,0110,4,02,2,18,7,7974,1,12800
533541012,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,1,01,2,18,1,12575,2,462000
533541012,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,1,01,2,18,7,12575,2,462000
533541022,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,1,02,2,18,1,9280,2,462000
533541022,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,1,02,2,18,7,9280,2,462000
533542012,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,2,01,2,18,1,11570,2,147000
533542012,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,2,01,2,18,7,11570,2,147000
533543022,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,3,02,2,18,1,6408,2,1260000
533543022,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,3,02,2,18,7,6408,2,1260000
533544022,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,4,02,2,18,1,4975,2,357000
533544022,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,4,02,2,18,7,4975,2,357000
533545022,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,5,02,2,18,6,12000,2,252000
533545022,771,53354,77,182,1,1,011,01,0121,21,21,31,1,0110,5,02,2,18,7,12000,2,252000
533581012,771,53358,77,182,1,1,011,01,0122,22,22,21,1,0110,1,01,2,18,4,25400,1,105600
533581012,771,53358,77,182,1,1,011,01,0122,22,22,21,1,0110,1,01,2,18,7,25400,1,105600
533581042,771,53358,77,182,1,1,011,01,0122,22,22,21,1,0110,1,04,2,18,4,13500,1,105600
533581042,771,53358,77,182,1,1,011,01,0122,22,22,21,1,0110,1,04,2,18,7,13500,1,105600
533583012,771,53358,77,182,1,1,011,01,0122,22,22,21,1,0110,3,01,2,18,4,2900,1,211200
533583012,771,53358,77,182,1,1,011,01,0122,22,22,21,1,0110,3,01,2,18,7,2900,1,211200
533583022,771,53358,77,182,1,1,011,01,0122,22,22,21,1,0110,3,02,2,18,4,1700,1,211200
533583022,771,53358,77,182,1,1,011,01,0122,22,22,21,1,0110,3,02,2,18,7,1700,1,211200
533584012,771,53358,77,182,1,1,011,01,0122,22,22,21,1,0110,4,01,2,18,4,1800,1,12800
533584012,771,53358,77,182,1,1,011,01,0122,22,22,21,1,0110,4,01,2,18,7,1800,1,12800
533586012,771,53358,77,182,1,1,011,01,0122,22,22,21,1,0110,6,01,2,18,4,22000,1,100800
533586012,771,53358,77,182,1,1,011,01,0122,22,22,21,1,0110,6,01,2,18,7,22000,1,100800
533586022,771,53358,77,182,1,1,011,01,0122,22,22,21,1,0110,6,02,2,18,4,833,1,100800
533586022,771,53358,77,182,1,1,011,01,0122,22,22,21,1,0110,6,02,2,18,7,833,1,100800
533731012,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,1,01,2,18,1,100000,2,27800
533731012,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,1,01,2,18,4,85000,2,27800
533731012,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,1,01,2,18,7,185000,2,27800
533731022,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,1,02,2,18,4,10000,2,27800
533731022,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,1,02,2,18,7,10000,2,27800
533736022,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,6,02,2,18,1,15600,2,1091150
533736022,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,6,02,2,18,4,1100,2,1091150
533736022,771,53373,77,182,1,1,011,01,0122,22,22,31,1,0110,6,02,2,18,7,16700,2,1091150
533211012,771,53321,77,182,1,1,012,01,0105,05,05,31,2,0110,1,01,2,18,1,12000,2,31000
